ID	Symbol	Synonyms	Chromosome
"563"	"AZGP1"	"ZA2G, ZAG"	"7"
"567"	"B2M"	"IMD43"	"15"
"811"	"CALR"	"CRT, HEL-S-99n, RO, SSA, cC1qR"	"19"
"821"	"CANX"	"CNX, IP90, P90"	"5"
"909"	"CD1A"	"CD1, FCB6, HTA1, R4, T6"	"1"
"910"	"CD1B"	"CD1, CD1A, R1"	"1"
"911"	"CD1C"	"BDCA1, CD1, CD1A, R7"	"1"
"912"	"CD1D"	"CD1A, R3, R3G1"	"1"
"913"	"CD1E"	"CD1A, R2"	"1"
"920"	"CD4"	"CD4mut"	"12"
"925"	"CD8A"	"CD8, Leu2, p32"	"2"
"926"	"CD8B"	"CD8B1, LEU2, LY3, LYT3, P37"	"2"
"972"	"CD74"	"DHLAG, HLADG, II, Ia-GAMMA, p33"	"5"
"1385"	"CREB1"	"CREB, CREB-1"	"2"
"1508"	"CTSB"	"APPS, CPSB, RECEUP"	"8"
"1510"	"CTSE"	"CATE"	"1"
"1514"	"CTSL"	"CATL, CTSL1, MEP"	"9"
"1520"	"CTSS"	"-"	"1"
"2207"	"FCER1G"	"FCRG"	"1"
"2217"	"FCGRT"	"FCRN, alpha-chain"	"19"
"2923"	"PDIA3"	"ER60, ERp57, ERp60, ERp61, GRP57, GRP58, HEL-S-269, HEL-S-93n, HsT17083, P58, PI-PLC"	"15"
"3077"	"HFE"	"HFE1, HH, HLA-H, MVCD7, TFQTL2"	"6"
"3105"	"HLA-A"	"HLAA"	"6"
"3106"	"HLA-B"	"AS, B-4901, HLAB"	"6"
"3107"	"HLA-C"	"D6S204, HLA-JY3, HLAC, HLC-C, MHC, PSORS1"	"6"
"3108"	"HLA-DMA"	"D6S222E, DMA, HLADM, RING6"	"6"
"3109"	"HLA-DMB"	"D6S221E, RING7"	"6"
"3111"	"HLA-DOA"	"HLA-DNA, HLA-DZA, HLADZ"	"6"
"3112"	"HLA-DOB"	"DOB, HLA_DOB"	"6"
"3113"	"HLA-DPA1"	"DP(W3), DP(W4), DPA1, HLA-DP1A, HLA-DPB1, HLADP, HLASB, PLT1"	"6"
"3115"	"HLA-DPB1"	"DPB1, HLA-DP, HLA-DP1B, HLA-DPB"	"6"
"3117"	"HLA-DQA1"	"CELIAC1, DQ-A1, DQA1, HLA-DQA"	"6"
"3118"	"HLA-DQA2"	"DC-alpha, DX-ALPHA, HLA-DCA, HLA-DXA, HLADQA2"	"6"
"3119"	"HLA-DQB1"	"CELIAC1, HLA-DQB, IDDM1"	"6"
"3122"	"HLA-DRA"	"HLA-DRA1"	"6"
"3123"	"HLA-DRB1"	"DRB1, HLA-DR1B, HLA-DRB, SS1"	"6"
"3125"	"HLA-DRB3"	"DRB3, HLA-DPB1, HLA-DR1B, HLA-DR3B"	"6"
"3126"	"HLA-DRB4"	"DR4, DRB4, HLA-DR4B, HLA-DRB4*"	"6"
"3127"	"HLA-DRB5"	"-"	"6"
"3133"	"HLA-E"	"HLA-6.2, QA1"	"6"
"3134"	"HLA-F"	"CDA12, HLA-5.4, HLA-CDA12, HLAF"	"6"
"3135"	"HLA-G"	"MHC-G"	"6"
"3136"	"HLA-H"	"HLAHP"	"6"
"3140"	"MR1"	"HLALS"	"1"
"3303"	"HSPA1A"	"HEL-S-103, HSP70-1, HSP70-1A, HSP70-2, HSP70.1, HSP70.2, HSP70I, HSP72, HSPA1"	"6"
"3304"	"HSPA1B"	"HSP70-1, HSP70-1B, HSP70-2, HSP70.1, HSP70.2, HSP72, HSPA1, HSX70"	"6"
"3305"	"HSPA1L"	"HSP70-1L, HSP70-HOM, HSP70T, hum70t"	"6"
"3306"	"HSPA2"	"HSP70-2, HSP70-3"	"14"
"3308"	"HSPA4"	"APG-2, HEL-S-5a, HS24/P52, HSPH2, RY, hsp70, hsp70RY"	"5"
"3309"	"HSPA5"	"BIP, GRP78, HEL-S-89n, MIF2"	"9"
"3310"	"HSPA6"	"HSP70B'"	"1"
"3312"	"HSPA8"	"HEL-33, HEL-S-72p, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP-1, LAP1, NIP71"	"11"
"3320"	"HSP90AA1"	"EL52, HEL-S-65p, HSP86, HSP89A, HSP90A, HSP90N, HSPC1, HSPCA, HSPCAL1, HSPCAL4, HSPN, Hsp103, Hsp89, Hsp90, LAP-2, LAP2"	"14"
"3326"	"HSP90AB1"	"D6S182, HSP84, HSP90B, HSPC2, HSPCB"	"6"
"3383"	"ICAM1"	"BB2, CD54, P3.58"	"19"
"3439"	"IFNA1"	"IFL, IFN, IFN-ALPHA, IFN-alphaD, IFNA13, IFNA@, leIF D"	"9"
"3440"	"IFNA2"	"IFN-alpha-2, IFN-alphaA, IFNA, IFNA2B, leIF A"	"9"
"3441"	"IFNA4"	"IFN-alpha4a, INFA4"	"9"
"3442"	"IFNA5"	"IFN-alpha-5, IFN-alphaG, INA5, INFA5, leIF G"	"9"
