ID	Symbol	Synonyms	Chromosome
"57817"	"HAMP"	"HEPC, HFE2B, LEAP1, PLTR"	"19"
"5266"	"PI3"	"ESI, SKALP, WAP3, WFDC14, cementoin"	"20"
"820"	"CAMP"	"CAP-18, CAP18, CRAMP, FALL-39, FALL39, HSD26, LL37"	"3"
"1673"	"DEFB4A"	"BD-2, DEFB-2, DEFB102, DEFB2, DEFB4, HBD-2, SAP1"	"8"
"5473"	"PPBP"	"B-TG1, Beta-TG, CTAP-III, CTAP3, CTAPIII, CXCL7, LA-PF4, LDGF, MDGF, NAP-2, PBP, SCYB7, TC1, TC2, TGB, TGB1, THBGB, THBGB1"	"4"
"130120"	"REG3G"	"LPPM429, PAP IB, PAP-1B, PAP1B, PAPIB, REG III, REG-III, UNQ429"	"2"
"9547"	"CXCL14"	"BMAC, BRAK, KEC, KS1, MIP-2g, MIP2G, NJAC, SCYB14"	"5"
"58191"	"CXCL16"	"CXCLG16, SR-PSOX, SRPSOX"	"17"
"6590"	"SLPI"	"ALK1, ALP, BLPI, HUSI, HUSI-I, MPI, WAP4, WFDC4"	"20"
"3576"	"CXCL8"	"GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1, SCYB8"	"4"
"3627"	"CXCL10"	"C7, IFI10, INP10, IP-10, SCYB10, crg-2, gIP-10, mob-1"	"4"
"4283"	"CXCL9"	"CMK, Humig, MIG, SCYB9, crg-10"	"4"
"6374"	"CXCL5"	"ENA-78, SCYB5"	"4"
"6373"	"CXCL11"	"H174, I-TAC, IP-9, IP9, SCYB11, SCYB9B, b-R1"	"4"
"6372"	"CXCL6"	"CKA-3, GCP-2, GCP2, SCYB6"	"4"
"2919"	"CXCL1"	"FSP, GRO1, GROa, MGSA, MGSA-a, NAP-3, SCYB1"	"4"
"6387"	"CXCL12"	"IRH, PBSF, SCYB12, SDF1, TLSF, TPAR1"	"10"
