ID	Symbol	Synonyms	Chromosome
"91"	"ACVR1B"	"ACTRIB, ACVRLK4, ALK4, SKR2"	"12"
"130399"	"ACVR1C"	"ACVRLK7, ALK7"	"2"
"92"	"ACVR2A"	"ACTRII, ACVR2"	"2"
"93"	"ACVR2B"	"ACTRIIB, ActR-IIB, HTX4"	"3"
"94"	"ACVRL1"	"ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I"	"12"
"117"	"ADCYAP1R1"	"PAC1, PAC1R, PACAPR, PACAPRI"	"7"
"51094"	"ADIPOR1"	"ACDCR1, CGI-45, CGI45, PAQR1, TESBP1A"	"1"
"79602"	"ADIPOR2"	"ACDCR2, PAQR2"	"12"
"153"	"ADRB1"	"ADRB1R, B1AR, BETA1AR, FNSS2, RHR"	"10"
"154"	"ADRB2"	"ADRB2R, ADRBR, B2AR, BAR, BETA2AR"	"5"
"185"	"AGTR1"	"AG2S, AGTR1B, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R"	"3"
"186"	"AGTR2"	"AT2, ATGR2, MRX88"	"X"
"269"	"AMHR2"	"AMHR, MISR2, MISRII, MRII"	"12"
"284"	"ANGPT1"	"AGP1, AGPT, ANG1"	"8"
"51378"	"ANGPT4"	"ANG3, ANG4"	"20"
"9068"	"ANGPTL1"	"ANG3, ANGPT3, ARP1, AngY, UNQ162, dJ595C2.2"	"1"
"23452"	"ANGPTL2"	"ARP2, HARP"	"9"
"27329"	"ANGPTL3"	"ANG-5, ANGPT5, ANL3, FHBL2"	"1"
"51129"	"ANGPTL4"	"ARP4, FIAF, HARP, HFARP, NL2, PGAR, TGQTL, UNQ171, pp1158"	"19"
"83854"	"ANGPTL6"	"AGF, ARP5"	"19"
"187"	"APLNR"	"AGTRL1, APJ, APJR, HG11"	"11"
"367"	"AR"	"AIS, AR8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM"	"X"
"552"	"AVPR1A"	"AVPR V1a, AVPR1, V1aR"	"12"
"553"	"AVPR1B"	"AVPR3, V1bR"	"1"
"554"	"AVPR2"	"ADHR, DI1, DIR, DIR3, NDI, V2R"	"X"
"657"	"BMPR1A"	"10q23del, ACVRLK3, ALK3, CD292, SKR5"	"10"
"658"	"BMPR1B"	"ALK-6, ALK6, AMDD, BDA1D, BDA2, CDw293"	"4"
"659"	"BMPR2"	"BMPR-II, BMPR3, BMR2, BRK-3, POVD1, PPH1, T-ALK"	"2"
"10902"	"BRD8"	"SMAP, SMAP2, p120"	"5"
"719"	"C3AR1"	"AZ3B, C3AR, HNFAG09"	"12"
"728"	"C5AR1"	"C5A, C5AR, C5R1, CD88"	"19"
"799"	"CALCR"	"CRT, CT-R, CTR, CTR1"	"7"
"10203"	"CALCRL"	"CGRPR, CRLR, LMPHM8"	"2"
"1238"	"ACKR2"	"CCBP2, CCR10, CCR9, CMKBR9, D6, hD6"	"3"
"1230"	"CCR1"	"CD191, CKR-1, CKR1, CMKBR1, HM145, MIP1aR, SCYAR1"	"3"
"2826"	"CCR10"	"GPR2"	"17"
"1232"	"CCR3"	"C C CKR3, CC-CKR-3, CD193, CKR 3, CKR3, CMKBR3"	"3"
"1233"	"CCR4"	"CC-CKR-4, CD194, CKR4, CMKBR4, ChemR13, HGCN:14099, K5-5"	"3"
"1234"	"CCR5"	"CC-CKR-5, CCCKR5, CCR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22"	"3"
"1235"	"CCR6"	"BN-1, C-C CKR-6, CC-CKR-6, CCR-6, CD196, CKR-L3, CKRL3, CMKBR6, DCR2, DRY6, GPR29, GPRCY4, STRL22"	"6"
"1236"	"CCR7"	"BLR2, CC-CKR-7, CCR-7, CD197, CDw197, CMKBR7, EBI1"	"17"
"1237"	"CCR8"	"CC-CKR-8, CCR-8, CDw198, CKRL1, CMKBR8, CMKBRL2, CY6, GPRCY6, TER1"	"3"
"10803"	"CCR9"	"CC-CKR-9, CDw199, GPR-9-6, GPR28"	"3"
"51554"	"ACKR4"	"CC-CKR-11, CCBP2, CCR-11, CCR10, CCR11, CCRL1, CCX CKR, CCX-CKR, CKR-11, PPR1, VSHK1"	"3"
"9034"	"CCRL2"	"ACKR5, CKRX, CRAM, CRAM-A, CRAM-B, HCR"	"3"
"958"	"CD40"	"Bp50, CDW40, TNFRSF5, p50"	"20"
"1240"	"CMKLR1"	"CHEMERINR, ChemR23, DEZ, RVER1"	"12"
"1271"	"CNTFR"	"-"	"9"
"1394"	"CRHR1"	"CRF-R, CRF-R-1, CRF-R1, CRF1, CRFR-1, CRFR1, CRH-R-1, CRH-R1, CRHR, CRHR1L"	"17"
"1395"	"CRHR2"	"CRF-RB, CRF2, CRFR2, HM-CRF"	"7"
"51232"	"CRIM1"	"CRIM-1, S52"	"2"
"9244"	"CRLF1"	"CISS, CISS1, CLF, CLF-1, NR6, zcytor5"	"19"
"64109"	"CRLF2"	"CRL2, CRLF2Y, TSLPR"	"X|Y"
"51379"	"CRLF3"	"CREME-9, CREME9, CRLM9, CYTOR4, FRWS, p48.2"	"17"
"1436"	"CSF1R"	"BANDDOS, C-FMS, CD115, CSF-1R, CSFR, FIM2, FMS, HDLS, M-CSF-R"	"5"
"1438"	"CSF2RA"	"CD116, CDw116, CSF2R, CSF2RAX, CSF2RAY, CSF2RX, CSF2RY, GM-CSF-R-alpha, GMCSFR, GMCSFR-alpha, GMR, GMR-alpha, SMDP4, alphaGMR"	"X|Y"
"1439"	"CSF2RB"	"CD131, CDw131, IL3RB, IL5RB, SMDP5, betaGMR"	"22"
"1441"	"CSF3R"	"CD114, GCSFR, SCN7"	"1"
"1524"	"CX3CR1"	"CCRL1, CMKBRL1, CMKDR1, GPR13, GPRV28, V28"	"3"
"2833"	"CXCR3"	"CD182, CD183, CKR-L2, CMKAR3, GPR9, IP10-R, Mig-R, MigR"	"X"
"7852"	"CXCR4"	"CD184, D2S201E, FB22, HM89, HSY3RR, LAP-3, LAP3, LCR1, LESTR, NPY3R, NPYR, NPYRL, NPYY3R, WHIM, WHIMS"	"2"
"643"	"CXCR5"	"BLR1, CD185, MDR15"	"11"
"10663"	"CXCR6"	"BONZO, CD186, STRL33, TYMSTR"	"3"
"57007"	"ACKR3"	"CMKOR1, CXC-R7, CXCR-7, CXCR7, GPR159, RDC-1, RDC1"	"2"
"10800"	"CYSLTR1"	"CYSLT1, CYSLT1R, CYSLTR, HMTMF81"	"X"
"57105"	"CYSLTR2"	"CYSLT2, CYSLT2R, GPCR21, HG57, HPN321, KPG_011, PSEC0146, hGPCR21"	"13"
"2532"	"ACKR1"	"CCBP1, CD234, DARC, DARC/ACKR1, Dfy, FY, GPD, GpFy, WBCQ1"	"1"
"1909"	"EDNRA"	"ET-A, ETA, ETA-R, ETAR, ETRA, MFDA, hET-AR"	"4"
"1910"	"EDNRB"	"ABCDS, ET-B, ET-BR, ETB, ETB1, ETBR, ETRB, HSCR, HSCR2, WS4A"	"13"
"1956"	"EGFR"	"ERBB, ERBB1, HER1, NISBD2, PIG61, mENA"	"7"
"2022"	"ENG"	"END, HHT1, ORW1"	"9"
"2057"	"EPOR"	"EPO-R"	"19"
"2099"	"ESR1"	"ER, ESR, ESRA, ESTRR, Era, NR3A1"	"6"
"2100"	"ESR2"	"ER-BETA, ESR-BETA, ESRB, ESTRB, Erb, NR3A2, ODG8"	"14"
"2101"	"ESRRA"	"ERR1, ERRa, ERRalpha, ESRL1, NR3B1"	"11"
"2103"	"ESRRB"	"DFNB35, ERR beta-2, ERR2, ERRb, ERRbeta2, ESRL2, NR3B2"	"14"
"2104"	"ESRRG"	"ERR-gamma, ERR3, ERRg, ERRgamma, NR3B3"	"1"
"2260"	"FGFR1"	"BFGFR, CD331, CEK, ECCL, FGFBR, FGFR-1, FLG, FLT-2, FLT2, HBGFR, HH2, HRTFDS, KAL2, N-SAM, OGD, bFGF-R-1"	"8"
"2263"	"FGFR2"	"BBDS, BEK, BFR-1, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25"	"10"
"2261"	"FGFR3"	"ACH, CD333, CEK2, HSFGFR3EX, JTK4"	"4"
"2264"	"FGFR4"	"CD334, JTK2, TKF"	"5"
"53834"	"FGFRL1"	"FGFR-5, FGFR5, FHFR"	"4"
"2321"	"FLT1"	"FLT, FLT-1, VEGFR-1, VEGFR1"	"13"
"2322"	"FLT3"	"CD135, FLK-2, FLK2, STK1"	"13"
"2324"	"FLT4"	"CHTD7, FLT-4, FLT41, LMPH1A, LMPHM1, PCL, VEGFR-3, VEGFR3"	"5"
"2357"	"FPR1"	"FMLP, FPR"	"19"
"2358"	"FPR2"	"ALXR, FMLP-R-II, FMLPX, FPR2A, FPRH1, FPRH2, FPRL1, HM63, LXA4R"	"19"
"2358"	"FPR2"	"ALXR, FMLP-R-II, FMLPX, FPR2A, FPRH1, FPRH2, FPRL1, HM63, LXA4R"	"19"
"2492"	"FSHR"	"FSHR1, FSHRO, LGR1, ODG1"	"2"
"8811"	"GALR2"	"GAL2-R, GALNR2, GALR-2"	"17"
"8484"	"GALR3"	"-"	"22"
"2642"	"GCGR"	"GGR, GL-R"	"17"
"2690"	"GHR"	"GHBP, GHIP"	"5"
"2692"	"GHRHR"	"GHRFR, GRFR, IGHD1B, IGHD4"	"7"
"2693"	"GHSR"	"GHDP"	"3"
"2696"	"GIPR"	"PGQTL2"	"19"
"2740"	"GLP1R"	"GLP-1, GLP-1-R, GLP-1R"	"6"
"9340"	"GLP2R"	"-"	"17"
"2798"	"GNRHR"	"GNRHR1, GRHR, HH7, LHRHR, LRHR"	"4"
"2852"	"GPER1"	"CEPR, CMKRL2, DRY12, FEG-1, GPCR-Br, GPER, GPR30, LERGU, LERGU2, LyGPR, mER"	"7"
"2840"	"GPR17"	"-"	"2"
"2854"	"GPR32"	"RVDR1"	"19"
"2856"	"GPR33"	"-"	"14"
"11251"	"PTGDR2"	"CD294, CRTH2, DL1R, DP2, GPR44"	"11"
"27202"	"C5AR2"	"C5L2, GPF77, GPR77"	"19"
"3172"	"HNF4A"	"FRTS4, HNF4, HNF4a7, HNF4a8, HNF4a9, HNF4alpha, MODY, MODY1, NR2A1, NR2A21, TCF, TCF14"	"20"
"3174"	"HNF4G"	"NR2A2, NR2A3"	"8"
"3359"	"HTR3A"	"5-HT-3, 5-HT3A, 5-HT3R, 5HT3R, HTR3"	"11"
"9177"	"HTR3B"	"5-HT3B"	"11"
"170572"	"HTR3C"	"-"	"3"
"200909"	"HTR3D"	"5HT3D"	"3"
"285242"	"HTR3E"	"5-HT3-E, 5-HT3E, 5-HT3c1"	"3"
"3454"	"IFNAR1"	"AVP, IFN-alpha-REC, IFNAR, IFNBR, IFRC"	"21"
"3455"	"IFNAR2"	"IFN-R, IFN-alpha-REC, IFNABR, IFNARB, IMD45"	"21"
"3459"	"IFNGR1"	"CD119, IFNGR, IMD27A, IMD27B"	"6"
"3460"	"IFNGR2"	"AF-1, IFGR2, IFNGT1, IMD28"	"21"
"3480"	"IGF1R"	"CD221, IGFIR, IGFR, JTK13"	"15"
"3482"	"IGF2R"	"CD222, CI-M6PR, CIMPR, M6P-R, M6P/IGF2R, MPR 300, MPR1, MPR300, MPRI"	"6"
"3587"	"IL10RA"	"CD210, CD210a, CDW210A, HIL-10R, IL-10R1, IL10R"	"11"
"3588"	"IL10RB"	"CDW210B, CRF2-4, CRFB4, D21S58, D21S66, IL-10R2"	"21"
"3590"	"IL11RA"	"CRSDA"	"9"
"3594"	"IL12RB1"	"CD212, IL-12R-BETA1, IL12RB, IMD30"	"19"
"3595"	"IL12RB2"	"-"	"1"
"3597"	"IL13RA1"	"CD213A1, CT19, IL-13Ra, NR4"	"X"
"3598"	"IL13RA2"	"CD213A2, CT19, IL-13R, IL13BP"	"X"
"3601"	"IL15RA"	"CD215"	"10"
"3560"	"IL2RB"	"CD122, IL15RB, IMD63, P70-75"	"22"
"23765"	"IL17RA"	"CANDF5, CD217, CDw217, IL-17RA, IL17R, IMD51, hIL-17R"	"22"
"55540"	"IL17RB"	"CRL4, EVI27, IL17BR, IL17RH1"	"3"
"84818"	"IL17RC"	"CANDF9, IL17-RL, IL17RL"	"3"
"54756"	"IL17RD"	"HH18, IL-17RD, IL17RLM, SEF"	"3"
"132014"	"IL17RE"	"-"	"3"
"8809"	"IL18R1"	"CD218a, CDw218a, IL-18R-alpha, IL-18Ralpha, IL-1Rrp, IL18RA, IL18Ralpha2, IL1RRP"	"2"
"8807"	"IL18RAP"	"ACPL, CD218b, CDw218b, IL-18R-beta, IL-18RAcP, IL-18Rbeta, IL-1R-7, IL-1R7, IL-1RAcPL, IL18RB"	"2"
"3554"	"IL1R1"	"CD121A, D2S1473, IL-1R-alpha, IL1R, IL1RA, P80"	"2"
"7850"	"IL1R2"	"CD121b, CDw121b, IL-1R-2, IL-1RT-2, IL-1RT2, IL1R2c, IL1RB"	"2"
"3556"	"IL1RAP"	"C3orf13, IL-1RAcP, IL1R3"	"3"
"9173"	"IL1RL1"	"DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1"	"2"
"8808"	"IL1RL2"	"IL-1Rrp2, IL-36R, IL1R-rp2, IL1RRP2"	"2"
"53832"	"IL20RA"	"CRF2-8, IL-20R-alpha, IL-20R1, IL-20RA"	"6"
"53833"	"IL20RB"	"DIRS1, FNDC6, IL-20R2"	"3"
"50615"	"IL21R"	"CD360, IMD56, NILR"	"16"
"58985"	"IL22RA1"	"CRF2-9, IL22R, IL22R1"	"1"
"116379"	"IL22RA2"	"CRF2-10, CRF2-S1, CRF2X, IL-22BP, IL-22R-alpha-2, IL-22RA2, ZCYTOR16"	"6"
"149233"	"IL23R"	"-"	"1"
"9466"	"IL27RA"	"CRL1, IL-27RA, IL27R, TCCR, WSX1, zcytor1"	"19"
"163702"	"IFNLR1"	"CRF2/12, IFNLR, IL-28R1, IL28RA, LICR2"	"1"
"3559"	"IL2RA"	"CD25, IDDM10, IL2R, IMD41, TCGFR, p55"	"10"
"3560"	"IL2RB"	"CD122, IL15RB, IMD63, P70-75"	"22"
"3561"	"IL2RG"	"CD132, CIDX, IL-2RG, IMD4, P64, SCIDX, SCIDX1"	"X"
"133396"	"IL31RA"	"CRL, CRL3, GLM-R, GLMR, GPL, IL-31RA, PLCA2, PRO21384, hGLM-R"	"5"
"3563"	"IL3RA"	"CD123, IL3R, IL3RAY, IL3RX, IL3RY, hIL-3Ra"	"X|Y"
"3566"	"IL4R"	"CD124, IL-4RA, IL4RA"	"16"
"3568"	"IL5RA"	"CD125, CDw125, HSIL5R3, IL5R"	"3"
"3570"	"IL6R"	"CD126, IL-6R-1, IL-6RA, IL6Q, IL6RA, IL6RQ, gp80"	"1"
"3575"	"IL7R"	"CD127, CDW127, IL-7R-alpha, IL7RA, ILRA"	"5"
"3577"	"CXCR1"	"C-C, C-C-CKR-1, CD128, CD181, CDw128a, CKR-1, CMKAR1, IL8R1, IL8RA, IL8RBA"	"2"
"3579"	"CXCR2"	"CD182, CDw128b, CMKAR2, IL8R2, IL8RA, IL8RB"	"2"
