"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10959","LOC284825",3.5296726490214,3.78157544793709,22.3063150842452,7.90460777081017e-45,1.71174281276894e-40,91.3739249451734
"19330","TMEM132C",2.88112603102923,5.43943190297034,20.6645188508124,1.26569676049282e-41,1.3704331674236e-37,84.1206184368115
"212","ACADL",2.99780550416135,3.66840840891778,20.1712469148537,1.23994325067084e-40,8.95032369775899e-37,81.8738728343607
"279","ACSM5",2.49025794420424,4.2961278159611,20.0151874105557,2.56870075456704e-40,1.39063037100373e-36,81.1564821231465
"7774","HSPB7",1.68098537305088,4.26299969723587,19.7682861718309,8.18218607520628e-40,3.52245753132018e-36,80.0150255554826
"13932","PDE3B",3.37055901064609,4.06712484751105,19.7258474536077,9.99288149479414e-40,3.52245753132018e-36,79.8180256622971
"6801","GLYAT",3.18523340616924,3.78588308816074,19.6981607320017,1.13863785357845e-39,3.52245753132018e-36,79.6893776946949
"14090","PGM5-AS1",2.35246278437634,4.87939169071972,19.5668205993537,2.11790924324585e-39,5.7329155828111e-36,79.0777353554574
"315","ACVR1C",4.47125911432201,4.27837640146406,19.3188528617025,6.87608913315123e-39,1.65446344642655e-35,77.916824833573
"12959","NIPSNAP3B",2.61302657414325,3.10292676787007,19.1170742310865,1.80303668142978e-38,3.90447593363619e-35,76.9662284120161
"3415","CIDEA",3.01082668130431,5.05225075911617,19.0766333006612,2.18868545127995e-38,4.30872576795157e-35,76.7750674854689
"16477","RP11-736K20.5",2.77511514072858,5.11472650238055,18.8393303552487,6.85406754276359e-38,1.1952685591423e-34,75.6490483967179
"11505","LYVE1",2.76423446466047,3.63832305137345,18.8298347870184,7.17547507220039e-38,1.1952685591423e-34,75.6038381177886
"651","ALDH1L1",1.33946677601226,5.24659784509847,18.536005928082,2.97957195857957e-37,4.60875934021719e-34,74.1990402607358
"1249","ASPA",2.53022977096752,3.91510952251001,18.3726817592262,6.6052427894404e-37,9.53576884035545e-34,73.4133145838134
"12235","MRAP",2.72060268879402,3.73441460709538,18.3359622597709,7.90352200369042e-37,1.03361771556603e-33,73.236184442816
"8455","KCNIP2",1.06863754922126,4.01522809794475,18.3305796633441,8.1142928490522e-37,1.03361771556603e-33,73.2102047319047
"10745","LOC101930114",4.21811755170936,5.17350460879564,18.1833659622668,1.66907980278564e-36,2.00799572940683e-33,72.4981991747761
"1015","AQPEP",3.45966038588083,3.35698320099741,18.0976156385947,2.54375683548954e-36,2.89921338276452e-33,72.0821650974274
"17557","SLC19A3",4.1788017492119,3.71030855069926,17.9208902308261,6.07984199037773e-36,6.58294891508149e-33,71.2217376305471
"13873","PCK1",5.13817223767884,3.97132541058538,17.7512198471132,1.40866522728332e-35,1.45260216651525e-32,70.3918536033701
"11569","MAGI2-AS3",1.90885555831605,3.54733759455096,17.6752805798355,2.05419260850992e-35,2.02197913351283e-32,70.0192183437954
"409","ADH1C",3.79629628988927,3.81343170912075,17.6437149555473,2.40344400321798e-35,2.26289477781241e-32,69.8641065412208
"2016","C14orf180",3.36272914274673,5.6836247073962,17.268261612195,1.57068656028072e-34,1.41721739428662e-31,68.0093346260839
"8731","KLB",4.33416023488886,4.01594404084482,17.2332330847627,1.87300397602331e-34,1.62239604403139e-31,67.835370794657
"6935","GPD1",2.45411193020548,4.4454288885579,17.2211183209171,1.99064742457869e-34,1.6579796145866e-31,67.7751682776946
"1335","ATP1A2",2.70184548071505,3.86734374302896,17.1979327818667,2.23690660350937e-34,1.79408194440724e-31,67.6598990752468
"12141","MMP28",1.54041544154986,4.76690867674474,17.0625798351644,4.42517289722664e-34,3.42239711033724e-31,66.9856146163358
"1736","BHMT2",2.23283565498797,3.85957398188431,16.9793197378345,6.74017473099648e-34,5.03305116550789e-31,66.5696860616709
"9555","LINC01140",2.15743141360387,4.96884909430714,16.9672806372987,7.16350355255807e-34,5.17085564768817e-31,66.5094718083588
"18578","STX11",1.84349593323624,3.81066363475534,16.9604671749792,7.41481960109267e-34,5.17961027295683e-31,66.475385774615
"7979","IGSF10",1.90368060745337,4.39755238743001,16.9459353158376,7.9808291671413e-34,5.4007767379514e-31,66.4026669710769
"17108","SDPR",3.37058376370664,3.67025475760726,16.9193199691359,9.13249577248344e-34,5.99285442282209e-31,66.2694121709824
"13823","PCDH9",2.30194115145126,3.46983389212924,16.8218370355265,1.49736977948465e-33,9.53692428668826e-31,65.7805836034641
"4546","DEFB132",4.44436067409245,3.64188875825969,16.7605591840406,2.04443371457386e-33,1.26492034540277e-30,65.4726945219342
"17539","SLC16A7",3.42123710271986,4.32636919102892,16.6626585500339,3.36556844002914e-33,2.02448290468975e-30,64.9798198187738
"10761","LOC102723493",2.6403655978325,3.40321614411845,16.6382010531008,3.81258710660058e-33,2.23139388630907e-30,64.8565032592501
"760","ANGPT1",2.1761098054505,3.92120160239637,16.6284698125341,4.00662289032918e-33,2.28324786026522e-30,64.8074168776685
"763","ANGPTL1",2.09285512371967,3.31465354206402,16.6013372113184,4.60166151111299e-33,2.55510205187569e-30,64.6704921959122
"1048","ARHGAP20",1.45926070936358,4.14108888892761,16.4621799542793,9.37450464763937e-33,5.07512245361576e-30,63.966798770901
"2456","CA4",2.1595040676087,4.07837610318911,16.3503699924871,1.66335376337338e-32,8.59062053029999e-30,63.3996620209639
"17828","SLC7A10",2.29541404822884,4.4665810290398,16.3500422193051,1.66615590982498e-32,8.59062053029999e-30,63.397997186844
"15186","PVRL3",1.74875790629421,3.17624185755626,16.3452349141054,1.70780280590291e-32,8.60057436321571e-30,63.3735782810341
"8785","KLHL31",1.70816909808942,4.09157180127407,16.2317178969919,3.0617634957919e-32,1.47338863336386e-29,62.7961410952859
"2142","C1QTNF7",1.81333711237289,3.35043066800595,16.141042309681,4.88617748918679e-32,2.30022116365957e-29,62.3337637459268
"18334","SPX",2.82335671827599,4.3290662352897,15.8824533428891,1.86291531618924e-31,8.58328322810172e-29,61.0096951337136
"2293","C3orf55",2.00079535363734,3.24249207044082,15.8261157484351,2.49616098547412e-31,1.12613262792588e-28,60.7201633641965
"14702","PPP2R1B",2.23315817679066,5.51149732034354,15.7978217825804,2.89171219304442e-31,1.27795974572198e-28,60.5746118778213
"14786","PREX2",1.03040583227328,3.20255089746562,15.7934812385839,2.95773163877779e-31,1.28099357275466e-28,60.552274594084
"11655","MAP7D3",1.09496453722661,4.47922163384264,15.7255718101407,4.2117688190307e-31,1.75395872646365e-28,60.2025091802947
"17326","SGCG",3.60790663189085,3.80887512488407,15.7066934239543,4.64706979319773e-31,1.89872257305088e-28,60.1051799222593
"20129","TWIST2",1.92494510596565,4.25822356297637,15.6918031700459,5.02207036270958e-31,2.01394321674956e-28,60.0283822433903
"19798","TRHDE",2.03603598892371,2.92792325341149,15.6518956828869,6.18395942796301e-31,2.43479348022798e-28,59.8224276726672
"13132","NPR1",1.5856368881611,5.63287790479154,15.613464076144,7.55758051373532e-31,2.92248939330247e-28,59.6239133439767
"6129","FHL1",4.50193376617171,5.64763493652171,15.581523158387,8.92980002255572e-31,3.39254069277972e-28,59.4587946001334
"969","APOB",1.1682396386711,3.125287145082,15.5456781625069,1.07700407137442e-30,4.02112468372638e-28,59.2733521070587
"4747","DMRT2",1.24372779364348,3.01601650180878,15.4571685287895,1.71168541373805e-30,6.28246570076229e-28,58.814812846627
"5394","EPB42",1.50517977732132,3.55582308917702,15.4354970249063,1.91755497410024e-30,6.9092797492992e-28,58.7024019632852
"14411","PLXNA4",1.70243919696734,4.14896283926864,15.4326609260249,1.94627598571809e-30,6.9092797492992e-28,58.6876870120933
"14309","PLAC9",2.67240252567884,6.07434348133195,15.2371070937964,5.4367744440909e-30,1.89892500946433e-27,57.6708470014664
"10181","LOC101926960",4.07413232701644,3.29024817357662,15.197689356265,6.69102438420088e-30,2.29990687364873e-27,57.4653569834506
"598","AKAP12",2.7292411308928,4.43095501767216,15.183524512673,7.20952817748259e-30,2.4394114481779e-27,57.3914709904859
"20119","TUSC5",3.16374025728051,5.87172322008363,15.1786338644959,7.39776659306126e-30,2.46459439342679e-27,57.3659553832346
"17330","SGK2",1.54169041144486,4.15172014743425,15.1091229638571,1.06738573603504e-29,3.50215728997559e-27,57.0030116688218
"15527","RBPMS-AS1",2.27416656020405,5.36590413059688,15.0997336216356,1.12162094786641e-29,3.6251793471712e-27,56.9539448375227
"19234","TLN2",1.46800206355317,4.97314353751735,15.0775194964926,1.26121113872587e-29,4.01640106016306e-27,56.8378191647887
"12561","MYO16",1.40849750041731,3.69861632580448,15.0466847435809,1.4843525944313e-29,4.65850078730578e-27,56.6765377868292
"18323","SPTBN1",1.43523463124195,4.91994854077312,14.9863553332001,2.04216268601509e-29,6.31757613795098e-27,56.3606801822114
"13016","NMB",2.6776288621038,6.41017211166878,14.971759423836,2.20616065552442e-29,6.72878999934948e-27,56.2842023222989
"13134","NPR3",2.38431928189379,4.69045891557095,14.9583926867666,2.36792303051655e-29,7.12185739247719e-27,56.2141444030199
"6438","FXYD1",2.13078303664762,4.47618601073021,14.9056597126543,3.13100103628703e-29,9.28792156723227e-27,55.937568814229
"8285","ITGB1BP1",1.87059380403575,5.58841754139509,14.8886002981259,3.42733988987753e-29,1.00296007182835e-26,55.8480300790982
"69","ABCD2",1.56762826344182,2.6232977318538,14.8849360713949,3.49457745934642e-29,1.00900099842862e-26,55.8287937381114
"3830","CPM",2.39814626098938,4.84665744307397,14.8403962700921,4.42593125700894e-29,1.26109922855959e-26,55.5948535838346
"2123","C19orf80",1.88490463510244,4.04251575296994,14.8138632728073,5.09535423293859e-29,1.42287588405814e-26,55.4553900481949
"3826","CPED1",2.49326949337128,5.16369449181355,14.8127665727719,5.12511285876404e-29,1.42287588405814e-26,55.4496239058392
"2969","CD300LG",1.00327845772438,4.38429995076308,14.7825112628719,6.01860196349866e-29,1.63006209603442e-26,55.2904988873851
"444","ADRB1",1.538342801081,3.51767945644074,14.7824071118922,6.02193339564782e-29,1.63006209603442e-26,55.2899509449335
"17448","SIK2",1.71898342652849,4.90545963885568,14.7783495434654,6.15317197032173e-29,1.6450239384854e-26,55.2686030094976
"5085","EBF2",1.22722298447771,3.56435611884009,14.7633738697368,6.66289421176298e-29,1.75957285555765e-26,55.1897967619293
"15521","RBP4",3.60810560817873,5.09831125141973,14.7481259631384,7.22546191779377e-29,1.88514913047981e-26,55.1095332681682
"3417","CIDEC",4.86838777074372,7.2042004327732,14.7193482018545,8.42041342169843e-29,2.17076253151047e-26,54.9579822596047
"19799","TRHDE-AS1",2.02911274047062,3.75121356821756,14.6857615517451,1.00682923480051e-28,2.56504553877705e-26,54.7809949027485
"3131","CDKN2C",2.50212885670111,6.3353894453203,14.6318495034913,1.34171100794072e-28,3.37845952057632e-26,54.4966514767089
"4480","DDR2",2.47163642885316,6.11696203092875,14.5441062740953,2.14237356279571e-28,5.27194312526603e-26,54.0332221226838
"19463","TMEM37",1.89136668087678,5.5001263349582,14.536245605081,2.2341858541566e-28,5.43610052491699e-26,53.9916655682917
"7238","GYG2",3.75917595167548,5.40354160305388,14.4722769985426,3.14430792256403e-28,7.56555422923601e-26,53.6532483504965
"14676","PPP1R1A",3.63555695717136,5.59961080951743,14.4554150385366,3.44091907772463e-28,8.18825303605789e-26,53.5639721475751
"17014","SCARA5",2.80889890863364,4.99504272923518,14.4315275598457,3.90981968084402e-28,9.20295056398665e-26,53.4374491592239
"3530","CLMP",2.93662772373751,5.00840999841889,14.4209713187832,4.13697727835231e-28,9.63292935083002e-26,53.3815181131861
"14607","PPARG",3.99930234460164,4.91001836313936,14.4111511785412,4.36017225927552e-28,1.00446308802778e-25,53.3294769959397
"208","ACACB",2.64437910703637,6.33616392666286,14.3612224872799,5.69633030865877e-28,1.28493784202089e-25,53.0647317482156
"43","ABCA6",2.11007116498894,3.40501012376828,14.2997832697821,7.91768377182307e-28,1.76760249565803e-25,52.7386063476287
"9102","LGALS12",3.67365103765548,4.76357324497254,14.2779384675342,8.90188761428193e-28,1.9670446559926e-25,52.6225606497085
"4553","DENND2A",1.08350121188304,4.22047693409825,14.2719708165688,9.19149881103309e-28,2.01052431063557e-25,52.5908505260725
"2767","CCDC178",1.70531965517265,4.45940078488654,14.2676222226931,9.40847478360301e-28,2.02519231431213e-25,52.5677412987967
"14054","PFKFB1",1.0200001267504,3.78720975845416,14.2668883003366,9.44559795638535e-28,2.02519231431213e-25,52.5638409145349
"11410","LRRN3",2.8390709399621,4.5745337912502,14.2479162101837,1.04579688542977e-27,2.22026779940996e-25,52.4629963216851
"19613","TNMD",3.31538481289269,3.61763373089793,14.2296039343809,1.15383023880936e-27,2.42584406033171e-25,52.3656250007066
"6977","GPR146",3.01063746251501,5.23379656187697,14.1600840077594,1.67631131091675e-27,3.49043475364445e-25,51.9956672409309
"9659","LIPE",1.75068344990916,5.3962843411166,14.1530063171351,1.74132820598914e-27,3.59128212387571e-25,51.957975924032
"19201","TIMP4",5.03522876819972,5.2601654178561,14.1441670017088,1.82609269063621e-27,3.73056954865351e-25,51.9108964285327
"12602","MYZAP",3.17767523765899,6.19855499713962,14.1155034092778,2.13050446668484e-27,4.31178263794955e-25,51.7581775181035
"10723","LOC101929726",2.0561246634952,4.91188112208402,14.0785093389731,2.5998778752742e-27,5.21299586935766e-25,51.5609561579508
"12120","MME",3.45340765753088,5.20242085527573,14.066058633577,2.78014944908672e-27,5.52331525871312e-25,51.4945497033282
"206","ACAA2",1.32469474905333,5.9346675219479,14.0370948376185,3.24954719303618e-27,6.39717676956349e-25,51.3400122012549
