sample_name,POLR3GL,KLHL5,BLNK,SOX4,UBE2S,HSPA2,S100P,DEFB132,MICB,GNS,BIRC5,PREX1,FBXL16,CFB,TRIM45,GPAM,MTHFD1,CEBPA,CEBPD,STAT5A,PRLR,S100B,DENND1B
GSM1045191,8.934395,6.072575,5.236619,6.020647,4.445544,6.811801,5.073908,8.357489,5.413113,8.152319,5.020987,6.427861,4.139581,5.875372,4.930487,11.131842,9.063218,9.30175,8.235638,7.981321,4.169347,5.882043,4.535944
GSM1045192,7.695524,4.181562,5.595045,6.048561,4.422642,3.751913,4.521399,3.296474,6.659727,7.004034,5.306103,5.820572,4.614759,5.743448,4.745991,5.648319,6.632947,7.390315,6.229825,7.601242,3.922638,3.890485,4.496711
GSM1045193,7.523264,5.337126,8.674915,4.799969,4.878597,4.414112,4.638771,2.95357,6.921534,4.267152,5.840283,5.631678,4.833464,5.258735,5.288228,4.731407,5.941661,5.967707,4.134739,7.501134,3.890817,3.04282,4.766417
GSM1045194,6.98107,4.675391,4.519967,7.113616,4.498002,6.88595,5.977879,3.292748,5.217874,5.92238,4.655123,6.952114,4.935647,5.351327,5.912944,5.06737,6.383969,6.003971,7.220704,7.285756,4.683971,3.582345,3.885857
GSM1045195,8.82134,6.000885,4.955369,5.754098,4.847608,5.802109,4.839788,6.843711,5.132874,7.981259,4.10409,6.107303,3.937953,5.574557,4.677008,11.344489,9.651571,10.317095,7.528966,8.35087,3.516181,5.930763,4.249614
GSM1045196,9.232751,6.554038,5.683644,6.019058,4.726844,5.772102,4.438028,10.636102,5.384813,8.434404,4.134788,6.504816,4.190244,5.189387,4.775144,11.693156,9.868648,10.338755,7.701516,8.611313,3.207099,6.368343,4.308657
GSM1045197,9.013068,6.348729,4.979182,5.652827,4.968787,6.603562,4.995743,9.680347,4.450304,8.306924,4.489904,5.553425,4.410108,5.390989,4.990738,11.698576,9.024782,10.189545,7.837671,8.335562,3.627959,6.150749,3.933819
GSM1045198,9.166914,6.637379,6.205642,5.610573,4.345507,5.275108,4.440789,8.599132,6.076575,8.325801,4.500409,6.208832,4.01487,5.521602,4.897106,11.914548,9.10886,10.273627,7.413278,8.377161,3.821674,5.98559,4.327128
GSM1045199,9.420544,6.223672,3.710107,5.490359,4.639634,6.846684,5.883866,9.248019,4.013934,8.029193,4.236709,5.311664,4.264956,5.221681,5.189488,11.766507,9.845471,10.12673,8.125068,8.994576,3.844436,6.49177,4.079789
GSM1045200,7.74227,5.119552,5.382973,6.433505,4.753376,6.66906,5.255396,4.886615,4.759594,7.350668,6.573549,6.134681,4.460389,5.243406,5.307428,10.522993,8.620644,10.199072,6.853102,7.836777,4.295223,5.593907,3.912672
GSM1045201,8.10245,5.909432,4.488787,7.05394,4.58704,6.965292,5.115524,8.139516,4.811635,7.495421,4.765005,6.019384,4.857624,5.414037,5.12577,10.189492,7.895788,8.473193,7.580558,7.348605,4.24195,5.127478,4.122216
