sample_name,KLHL5,BLNK,SOX4,UBE2S,S100P,DEFB132,COLEC12,MICB,EIF4E3,GNS,ARF1,FBXL16,CFB,SOD2,TRIM45,MTHFD1,MDK,CEBPD,STAT5A,ACO1,TF
GSM1045191,6.072575,5.236619,6.020647,4.445544,5.073908,8.357489,7.386655,5.413113,6.647043,8.152319,6.092818,4.139581,5.875372,9.288465,4.930487,9.063218,5.18845,8.235638,7.981321,6.697765,6.90191
GSM1045192,4.181562,5.595045,6.048561,4.422642,4.521399,3.296474,6.404261,6.659727,4.446082,7.004034,5.646816,4.614759,5.743448,8.606902,4.745991,6.632947,6.270123,6.229825,7.601242,5.872591,4.818204
GSM1045193,5.337126,8.674915,4.799969,4.878597,4.638771,2.95357,4.816429,6.921534,4.109932,4.267152,5.75316,4.833464,5.258735,4.838683,5.288228,5.941661,5.771265,4.134739,7.501134,4.704279,4.746406
GSM1045194,4.675391,4.519967,7.113616,4.498002,5.977879,3.292748,4.931116,5.217874,4.598521,5.92238,6.109073,4.935647,5.351327,9.178988,5.912944,6.383969,6.423919,7.220704,7.285756,4.65054,4.738504
GSM1045195,6.000885,4.955369,5.754098,4.847608,4.839788,6.843711,8.182421,5.132874,6.837103,7.981259,5.287706,3.937953,5.574557,10.132265,4.677008,9.651571,5.001135,7.528966,8.35087,8.647494,7.463235
GSM1045196,6.554038,5.683644,6.019058,4.726844,4.438028,10.636102,8.062294,5.384813,7.264238,8.434404,5.910173,4.190244,5.189387,8.070185,4.775144,9.868648,5.101836,7.701516,8.611313,7.282538,7.021684
GSM1045197,6.348729,4.979182,5.652827,4.968787,4.995743,9.680347,7.722748,4.450304,6.956397,8.306924,5.342808,4.410108,5.390989,8.449288,4.990738,9.024782,5.264952,7.837671,8.335562,7.32847,6.595114
GSM1045198,6.637379,6.205642,5.610573,4.345507,4.440789,8.599132,8.492432,6.076575,6.682948,8.325801,5.934851,4.01487,5.521602,8.542098,4.897106,9.10886,5.013701,7.413278,8.377161,7.406284,7.460793
GSM1045199,6.223672,3.710107,5.490359,4.639634,5.883866,9.248019,8.464763,4.013934,7.416743,8.029193,5.593941,4.264956,5.221681,8.598354,5.189488,9.845471,6.255979,8.125068,8.994576,7.274613,7.614173
GSM1045200,5.119552,5.382973,6.433505,4.753376,5.255396,4.886615,7.233718,4.759594,5.686753,7.350668,5.738736,4.460389,5.243406,6.19746,5.307428,8.620644,6.615726,6.853102,7.836777,6.598853,7.375655
GSM1045201,5.909432,4.488787,7.05394,4.58704,5.115524,8.139516,7.452007,4.811635,5.745326,7.495421,5.246077,4.857624,5.414037,8.212646,5.12577,7.895788,5.831968,7.580558,7.348605,6.26014,6.218
