gene,beta,HR,HR_lower_95,HR_upper_95,p_value
FBXL5,-0.7746,0.4609,0.3313,0.6412,0.0
EVL,-0.4396,0.6443,0.5187,0.8002,0.0001
POLR3GL,-0.6891,0.502,0.3484,0.7235,0.0002
CDC20,0.4483,1.5657,1.2309,1.9916,0.0003
KLHL5,-0.9318,0.3939,0.2293,0.6765,0.0007
GATA3,-0.2529,0.7766,0.6697,0.9005,0.0008
BLNK,-0.3943,0.6742,0.5352,0.8492,0.0008
SOX4,1.1479,3.1516,1.5756,6.3041,0.0012
RARRES3,-0.3255,0.7222,0.593,0.8794,0.0012
UBE2S,0.4701,1.6002,1.1969,2.1393,0.0015
SOX11,0.2154,1.2403,1.0789,1.4259,0.0025
HSPA2,-0.2879,0.7499,0.6213,0.9051,0.0027
ERAP1,-1.1679,0.311,0.1438,0.6726,0.003
HEBP2,0.9654,2.6258,1.3639,5.0551,0.0039
S100P,0.2078,1.231,1.0687,1.418,0.004
DEFB132,-1.4507,0.2344,0.086,0.6388,0.0046
COLEC12,-0.3957,0.6732,0.5103,0.8881,0.0051
MICB,-0.3472,0.7067,0.5527,0.9035,0.0056
EIF4E3,-0.841,0.4313,0.2278,0.8166,0.0098
SFRP1,0.2253,1.2527,1.0543,1.4885,0.0104
COL1A2,-0.3337,0.7163,0.5544,0.9254,0.0107
GNS,-0.6369,0.529,0.3227,0.867,0.0115
BIRC5,0.42,1.522,1.0979,2.11,0.0117
PREX1,-0.3018,0.7394,0.5846,0.9353,0.0118
JAM2,-0.5453,0.5796,0.379,0.8866,0.0119
FLNB,-0.4786,0.6197,0.4248,0.9039,0.013
FBN1,-0.4195,0.6573,0.4712,0.9171,0.0135
ARF1,0.8006,2.2268,1.1783,4.2082,0.0137
UBE2E3,0.2863,1.3315,1.0603,1.672,0.0137
FBXL16,-0.5898,0.5544,0.3447,0.8919,0.015
CFB,-0.3716,0.6896,0.5095,0.9334,0.0161
UBE2C,0.388,1.474,1.0714,2.0278,0.0171
SOD2,0.302,1.3525,1.0529,1.7374,0.0181
C6orf120,-0.4828,0.6171,0.4132,0.9216,0.0183
TRIM45,-0.4969,0.6084,0.4023,0.9202,0.0186
GPAM,-0.3849,0.6805,0.4929,0.9394,0.0193
CXCL14,-0.2071,0.8129,0.6827,0.968,0.0201
MTHFD1,-0.6577,0.518,0.2973,0.9026,0.0202
CEBPA,-0.5862,0.5564,0.3392,0.9129,0.0203
SPHK1,0.3333,1.3956,1.0475,1.8594,0.0228
MDK,0.2716,1.312,1.0335,1.6656,0.0257
CEBPD,0.4518,1.5711,1.0537,2.3424,0.0266
VAV3,-0.3511,0.7039,0.5146,0.9629,0.0281
STAT5A,-0.5247,0.5917,0.3695,0.9475,0.0289
ACO1,-1.0536,0.3487,0.1327,0.9163,0.0326
TF,0.3989,1.4902,1.0335,2.1485,0.0326
DCTN6,-0.4296,0.6508,0.4383,0.9662,0.0331
MYB,-0.3173,0.7281,0.5392,0.9832,0.0384
ALDOC,0.3161,1.3717,1.0146,1.8546,0.04
PRLR,-0.454,0.6351,0.4104,0.9829,0.0416
S100B,0.3396,1.4044,1.0079,1.9569,0.0448
CXCL12,-0.2806,0.7553,0.5742,0.9935,0.0448
FOS,-0.2058,0.814,0.6646,0.9969,0.0466
CLU,-0.2802,0.7556,0.5732,0.9961,0.0469
DENND1B,-0.4585,0.6323,0.4011,0.9966,0.0483
NFIL3,0.2525,1.2873,0.9998,1.6573,0.0502
SVIP,-0.4039,0.6677,0.4452,1.0014,0.0508
BST2,-0.2101,0.8105,0.6555,1.0022,0.0524
TGFBR2,-0.4599,0.6313,0.3957,1.0073,0.0537
EGR1,-0.2688,0.7643,0.5815,1.0046,0.054
CYSTM1,-0.4236,0.6547,0.4247,1.0093,0.0551
RHOH,-0.2318,0.7931,0.6253,1.0059,0.056
IRF6,0.4426,1.5568,0.9839,2.4632,0.0587
MGST1,0.3221,1.38,0.9861,1.9313,0.0604
KIF23,0.3677,1.4443,0.9833,2.1216,0.0609
PJA1,-0.3826,0.6821,0.4532,1.0266,0.0667
XG,-0.8282,0.4369,0.179,1.0664,0.0689
TSLP,0.9445,2.5717,0.9279,7.1275,0.0694
MX1,0.1662,1.1809,0.9852,1.4154,0.0721
CD24,0.2182,1.2438,0.978,1.5819,0.0753
RNASE4,-0.249,0.7796,0.5907,1.0288,0.0785
MUC1,-0.1821,0.8335,0.6789,1.0234,0.0821
PPP2R1B,-0.7763,0.4601,0.1868,1.1331,0.0914
VAMP3,-0.4534,0.6355,0.3737,1.0806,0.0942
ISG20,0.1909,1.2103,0.9667,1.5153,0.096
MAOA,-0.2979,0.7424,0.5209,1.058,0.0993
NMB,0.36,1.4334,0.9266,2.2172,0.1057
ADIPOQ,-0.1176,0.8891,0.771,1.0252,0.1059
ITGA1,-0.523,0.5927,0.3129,1.1229,0.1086
KIF20A,0.2354,1.2654,0.9476,1.6897,0.1106
NDN,-0.2561,0.7741,0.5618,1.0665,0.1173
HBB,-0.2994,0.7413,0.5092,1.0793,0.1183
VIM,-0.3008,0.7402,0.5053,1.0845,0.1227
LEP,-0.1808,0.8346,0.6629,1.0508,0.124
SDC1,0.2057,1.2284,0.9438,1.5989,0.1261
CFD,-0.1347,0.8739,0.735,1.0391,0.1271
TUBB6,0.2021,1.224,0.9419,1.5905,0.1305
PYGL,-0.2274,0.7966,0.5932,1.0698,0.1307
MIF,0.3142,1.3691,0.9104,2.0589,0.1312
SLIT2,-0.2311,0.7936,0.5875,1.072,0.1319
PRDX6,0.4229,1.5264,0.8801,2.6475,0.1322
TRIM11,0.3889,1.4753,0.8828,2.4655,0.1378
KPNA2,0.2584,1.2949,0.9202,1.8221,0.1382
ISG15,0.1521,1.1643,0.9519,1.4242,0.1388
FN1,-0.223,0.8001,0.5954,1.0752,0.1392
MME,-0.3039,0.738,0.4931,1.1044,0.1396
AGPAT2,0.4685,1.5976,0.8511,2.9989,0.1448
CALML5,0.0926,1.097,0.9683,1.2428,0.1459
KIF4A,0.2059,1.2287,0.9289,1.6252,0.149
SLC39A6,-0.1443,0.8656,0.7114,1.0533,0.1494
CTPS1,0.2261,1.2537,0.9213,1.7059,0.1503
FBXO17,0.2915,1.3384,0.8972,1.9966,0.1532
EZR,-0.339,0.7125,0.4455,1.1394,0.157
IL17D,-0.4282,0.6517,0.3538,1.2002,0.1693
DGAT1,-0.2765,0.7585,0.5109,1.126,0.1703
BTNL9,-0.4111,0.6629,0.3666,1.1986,0.1737
TXNIP,-0.1933,0.8242,0.6234,1.0898,0.175
FABP5,0.1247,1.1328,0.9448,1.3583,0.178
DLG5,-0.2072,0.8128,0.6006,1.1001,0.1796
PPARG,-0.2541,0.7756,0.535,1.1244,0.1799
EPS8,-0.1864,0.8299,0.6286,1.0958,0.1886
CH25H,-0.23,0.7946,0.5623,1.1227,0.1923
FGF2,0.2917,1.3387,0.8614,2.0804,0.1947
DTX3L,-0.293,0.746,0.4745,1.1728,0.2043
RARRES2,-0.1805,0.8348,0.6312,1.1042,0.2058
APOB,-1.44,0.2369,0.0249,2.2519,0.2101
NR1H3,-0.1962,0.8219,0.6042,1.118,0.2115
RPS6KA1,-0.2644,0.7677,0.5047,1.1677,0.2167
CXCL11,0.0989,1.1039,0.9392,1.2975,0.2303
LGALS1,0.1981,1.219,0.8812,1.6864,0.2317
S1PR1,-0.3683,0.6919,0.3771,1.2696,0.2344
PYCARD,-0.1583,0.8536,0.6575,1.1082,0.2346
PTGER4,-0.2774,0.7578,0.4768,1.2044,0.2407
APOD,0.0794,1.0826,0.9475,1.237,0.2431
RFTN1,-0.3331,0.7167,0.4037,1.2724,0.2554
C6,-0.42,0.6571,0.3168,1.3628,0.2592
PKM,0.3609,1.4346,0.764,2.6936,0.2616
CXADR,0.1699,1.1852,0.8794,1.5973,0.2645
IL17RB,-0.1567,0.855,0.6475,1.129,0.2694
BST1,-0.436,0.6466,0.2977,1.4048,0.2708
WASF3,0.1894,1.2085,0.8608,1.6967,0.2739
SCRIB,0.2249,1.2521,0.8347,1.8783,0.2771
VTCN1,0.0866,1.0904,0.931,1.2772,0.283
ITM2A,-0.127,0.8807,0.6983,1.1108,0.2835
TNFRSF21,0.1636,1.1777,0.8714,1.5917,0.2871
CD36,-0.113,0.8932,0.7239,1.102,0.2919
RGCC,-0.249,0.7796,0.4903,1.2398,0.2928
MRC1,-0.1449,0.8651,0.6577,1.138,0.3004
TTLL12,0.1992,1.2204,0.8362,1.7811,0.3018
DUSP1,-0.3589,0.6984,0.3532,1.3813,0.3023
PLK2,-0.1269,0.8808,0.6909,1.1229,0.3056
TWIST1,-0.12,0.8869,0.7045,1.1166,0.3071
CAV1,-0.1243,0.8832,0.6942,1.1236,0.3118
