gene,beta,HR,HR_lower_95,HR_upper_95,p_value,role
FBXL5,-0.7746,0.4609,0.3313,0.6412,0.0,protective
EVL,-0.4396,0.6443,0.5187,0.8002,0.0001,protective
POLR3GL,-0.6891,0.502,0.3484,0.7235,0.0002,protective
CDC20,0.4483,1.5657,1.2309,1.9916,0.0003,danger
KLHL5,-0.9318,0.3939,0.2293,0.6765,0.0007,protective
GATA3,-0.2529,0.7766,0.6697,0.9005,0.0008,protective
BLNK,-0.3943,0.6742,0.5352,0.8492,0.0008,protective
SOX4,1.1479,3.1516,1.5756,6.3041,0.0012,danger
RARRES3,-0.3255,0.7222,0.593,0.8794,0.0012,protective
UBE2S,0.4701,1.6002,1.1969,2.1393,0.0015,danger
SOX11,0.2154,1.2403,1.0789,1.4259,0.0025,danger
HSPA2,-0.2879,0.7499,0.6213,0.9051,0.0027,protective
ERAP1,-1.1679,0.311,0.1438,0.6726,0.003,protective
HEBP2,0.9654,2.6258,1.3639,5.0551,0.0039,danger
S100P,0.2078,1.231,1.0687,1.418,0.004,danger
DEFB132,-1.4507,0.2344,0.086,0.6388,0.0046,protective
COLEC12,-0.3957,0.6732,0.5103,0.8881,0.0051,protective
MICB,-0.3472,0.7067,0.5527,0.9035,0.0056,protective
EIF4E3,-0.841,0.4313,0.2278,0.8166,0.0098,protective
SFRP1,0.2253,1.2527,1.0543,1.4885,0.0104,danger
COL1A2,-0.3337,0.7163,0.5544,0.9254,0.0107,protective
GNS,-0.6369,0.529,0.3227,0.867,0.0115,protective
BIRC5,0.42,1.522,1.0979,2.11,0.0117,danger
PREX1,-0.3018,0.7394,0.5846,0.9353,0.0118,protective
JAM2,-0.5453,0.5796,0.379,0.8866,0.0119,protective
FLNB,-0.4786,0.6197,0.4248,0.9039,0.013,protective
FBN1,-0.4195,0.6573,0.4712,0.9171,0.0135,protective
ARF1,0.8006,2.2268,1.1783,4.2082,0.0137,danger
UBE2E3,0.2863,1.3315,1.0603,1.672,0.0137,danger
FBXL16,-0.5898,0.5544,0.3447,0.8919,0.015,protective
CFB,-0.3716,0.6896,0.5095,0.9334,0.0161,protective
UBE2C,0.388,1.474,1.0714,2.0278,0.0171,danger
SOD2,0.302,1.3525,1.0529,1.7374,0.0181,danger
C6orf120,-0.4828,0.6171,0.4132,0.9216,0.0183,protective
TRIM45,-0.4969,0.6084,0.4023,0.9202,0.0186,protective
GPAM,-0.3849,0.6805,0.4929,0.9394,0.0193,protective
CXCL14,-0.2071,0.8129,0.6827,0.968,0.0201,protective
MTHFD1,-0.6577,0.518,0.2973,0.9026,0.0202,protective
CEBPA,-0.5862,0.5564,0.3392,0.9129,0.0203,protective
SPHK1,0.3333,1.3956,1.0475,1.8594,0.0228,danger
MDK,0.2716,1.312,1.0335,1.6656,0.0257,danger
CEBPD,0.4518,1.5711,1.0537,2.3424,0.0266,danger
VAV3,-0.3511,0.7039,0.5146,0.9629,0.0281,protective
STAT5A,-0.5247,0.5917,0.3695,0.9475,0.0289,protective
ACO1,-1.0536,0.3487,0.1327,0.9163,0.0326,protective
TF,0.3989,1.4902,1.0335,2.1485,0.0326,danger
DCTN6,-0.4296,0.6508,0.4383,0.9662,0.0331,protective
MYB,-0.3173,0.7281,0.5392,0.9832,0.0384,protective
ALDOC,0.3161,1.3717,1.0146,1.8546,0.04,danger
PRLR,-0.454,0.6351,0.4104,0.9829,0.0416,protective
S100B,0.3396,1.4044,1.0079,1.9569,0.0448,danger
CXCL12,-0.2806,0.7553,0.5742,0.9935,0.0448,protective
FOS,-0.2058,0.814,0.6646,0.9969,0.0466,protective
CLU,-0.2802,0.7556,0.5732,0.9961,0.0469,protective
DENND1B,-0.4585,0.6323,0.4011,0.9966,0.0483,protective
