ID	Symbol	Synonyms	Chromosome
"915"	"CD3D"	"CD3-DELTA, IMD19, T3D"	"11"
"916"	"CD3E"	"IMD18, T3E, TCRE"	"11"
"917"	"CD3G"	"CD3-GAMMA, IMD17, T3G"	"11"
"919"	"CD247"	"CD3-ZETA, CD3H, CD3Q, CD3Z, IMD25, T3Z, TCRZ"	"1"
"920"	"CD4"	"CD4mut"	"12"
"925"	"CD8A"	"CD8, Leu2, p32"	"2"
"926"	"CD8B"	"CD8B1, LEU2, LY3, LYT3, P37"	"2"
"5788"	"PTPRC"	"B220, CD45, CD45R, GP180, L-CA, LCA, LY5, T200"	"1"
"3932"	"LCK"	"IMD22, LSK, YT16, p56lck, pp58lck"	"1"
"2534"	"FYN"	"SLK, SYN, p59-FYN"	"6"
"7535"	"ZAP70"	"ADMIO2, IMD48, SRK, STCD, STD, TZK, ZAP-70"	"2"
"3937"	"LCP2"	"SLP-76, SLP76"	"5"
"27040"	"LAT"	"IMD52, LAT1, pp36"	"16"
"3702"	"ITK"	"EMT, LPFS1, LYK, PSCTK2"	"5"
"7006"	"TEC"	"PSCTK4"	"4"
"4690"	"NCK1"	"NCK, NCKalpha, nck-1"	"3"
"8440"	"NCK2"	"GRB4, NCKbeta"	"2"
"10451"	"VAV3"	"-"	"1"
"7409"	"VAV1"	"VAV"	"19"
"7410"	"VAV2"	"VAV-2"	"9"
"9402"	"GRAP2"	"GADS, GRAP-2, GRB2L, GRBLG, GRID, GRPL, GrbX, Grf40, Mona, P38"	"22"
"2885"	"GRB2"	"ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2"	"17"
"5058"	"PAK1"	"IDDMSSD, PAKalpha, alpha-PAK, p65-PAK"	"11"
"5062"	"PAK2"	"PAK65, PAKgamma"	"3"
"5063"	"PAK3"	"ARA, MRX30, MRX47, OPHN3, PAK-3, PAK3beta, bPAK, beta-PAK"	"X"
"10298"	"PAK4"	"-"	"19"
"56924"	"PAK6"	"PAK5"	"15"
"57144"	"PAK5"	"PAK7"	"20"
"387"	"RHOA"	"ARH12, ARHA, EDFAOB, RHO12, RHOH12"	"3"
"998"	"CDC42"	"CDC42Hs, G25K, TKS"	"1"
"5530"	"PPP3CA"	"ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, IECEE, IECEE1, PPP2B"	"4"
"5532"	"PPP3CB"	"CALNA2, CALNB, CNA2, PP2Bbeta"	"10"
"5533"	"PPP3CC"	"CALNA3, CNA3, PP2Bgamma"	"8"
"11261"	"CHP1"	"CHP, SLC9A1BP, SPAX9, Sid470p, p22, p24"	"15"
"5534"	"PPP3R1"	"CALNB1, CNB, CNB1"	"2"
"5535"	"PPP3R2"	"PPP3RL"	"9"
"63928"	"CHP2"	"-"	"16"
"10725"	"NFAT5"	"NF-AT5, NFATL1, NFATZ, OREBP, TONEBP"	"16"
"4772"	"NFATC1"	"NF-ATC, NF-ATc1.2, NFAT2, NFATc"	"18"
"4773"	"NFATC2"	"NFAT1, NFATP"	"20"
"4775"	"NFATC3"	"NF-AT4c, NFAT4, NFATX"	"16"
"4776"	"NFATC4"	"NF-AT3, NF-ATC4, NFAT3"	"14"
"6654"	"SOS1"	"GF1, GGF1, GINGF, HGF, NS4, SOS-1"	"2"
"6655"	"SOS2"	"NS9, SOS-2"	"14"
"3265"	"HRAS"	"C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras"	"11"
"3845"	"KRAS"	"'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2"	"12"
