ID	Symbol	Synonyms	Chromosome
"973"	"CD79A"	"IGA, MB-1"	"19"
"974"	"CD79B"	"AGM6, B29, IGB"	"17"
"4067"	"LYN"	"JTK8, p53Lyn, p56Lyn"	"8"
"6850"	"SYK"	"p72-Syk"	"9"
"695"	"BTK"	"AGMX1, AT, ATK, BPK, IGHD3, IMD1, PSCTK1, XLA"	"X"
"29760"	"BLNK"	"AGM4, BASH, BLNK-S, LY57, SLP-65, SLP65, bca"	"10"
"10451"	"VAV3"	"-"	"1"
"7409"	"VAV1"	"VAV"	"19"
"7410"	"VAV2"	"VAV-2"	"9"
"5879"	"RAC1"	"MIG5, MRD48, Rac-1, TC-25, p21-Rac1"	"7"
"5880"	"RAC2"	"EN-7, Gx, HSPC022, p21-Rac2"	"22"
"5881"	"RAC3"	"-"	"17"
"5530"	"PPP3CA"	"ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, IECEE, IECEE1, PPP2B"	"4"
"5532"	"PPP3CB"	"CALNA2, CALNB, CNA2, PP2Bbeta"	"10"
"5533"	"PPP3CC"	"CALNA3, CNA3, PP2Bgamma"	"8"
"11261"	"CHP1"	"CHP, SLC9A1BP, SPAX9, Sid470p, p22, p24"	"15"
"5534"	"PPP3R1"	"CALNB1, CNB, CNB1"	"2"
"5535"	"PPP3R2"	"PPP3RL"	"9"
"63928"	"CHP2"	"-"	"16"
"10725"	"NFAT5"	"NF-AT5, NFATL1, NFATZ, OREBP, TONEBP"	"16"
"4772"	"NFATC1"	"NF-ATC, NF-ATc1.2, NFAT2, NFATc"	"18"
"4773"	"NFATC2"	"NFAT1, NFATP"	"20"
"4775"	"NFATC3"	"NF-AT4c, NFAT4, NFATX"	"16"
"4776"	"NFATC4"	"NF-AT3, NF-ATC4, NFAT3"	"14"
"3265"	"HRAS"	"C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras"	"11"
